"","code","employmentStatus","countryOfResidence","gender","age","income","customerType","joinDate","isCustomerAtMost6MonthOld","seniority","isPrimaryCustomer","customerTypeFirstMonth","customerRelationTypeFirstMonth","customerResidenceIndex","customerForeignIndex","channelOfJoin","deceasedIndex","customerAddrProvinceName","isCustomerActive","product"
"30","1050598.0","N","ES","H",23,90408.75,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"31","1050599.0","N","ES","V",24,74780.37,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZAMORA\","0","[1,2,3]"
"32","1050601.0","N","ES","V",26,120146.49,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"33","1050602.0","N","ES","V",23,91282.71,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"34","1050603.0","N","ES","H",23,131351.94,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"35","1050604.0","N","ES","H",53,113279.1,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"36","1050607.0","N","ES","V",27,70777.59,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SEGOVIA\","0","[1,2,3]"
"37","1050580.0","N","ES","H",23,77320.92,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\LUGO\","1","[1,2,3]"
"39","1050630.0","N","ES","V",22,64398.06,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","S","KHD","N","\BARCELONA\","0","[1,2,3]"
"40","1050669.0","N","ES","V",32,171398.85,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\MALAGA\","1","[1,2,3]"
"41","1050670.0","N","ES","V",37,64031.25,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\SALAMANCA\","1","[1,2,3]"
"42","1050676.0","N","ES","V",31,90431.85,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\TOLEDO\","0","[1,2,3]"
"43","1050679.0","N","ES","V",39,157191.69,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\MADRID\","1","[1,2,3]"
"44","1050680.0","N","ES","V",53,133092.33,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\BARCELONA\","0","[1,2,3]"
"45","1050686.0","N","ES","V",39,37075.26,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\CACERES\","1","[1,2,3]"
"46","1050688.0","N","ES","V",63,245052.27,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\MADRID\","1","[1,2,3]"
"47","1050693.0","N","ES","V",37,104035.08,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\BARCELONA\","0","[1,2,3]"
"48","1050694.0","N","ES","V",31,57155.34,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\MADRID\","1","[1,2,3]"
"50","1050703.0","N","ES","V",23,53631.36,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\HUESCA\","0","[1,2,3]"
"51","1050704.0","N","ES","V",23,72880.8,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"52","1050706.0","N","ES","H",33,84061.95,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"53","1050707.0","N","ES","V",23,106686.96,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALICANTE\","0","[1,2,3]"
"54","1050710.0","N","ES","H",23,132398.4,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALICANTE\","0","[1,2,3]"
"55","1050663.0","N","ES","H",23,148080.45,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\SORIA\","1","[1,2,3]"
"56","1050629.0","N","ES","V",55,101919.09,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"57","1050662.0","N","ES","V",37,122456.91,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KAT","N","\MADRID\","1","[1,2,3]"
"58","1050660.0","N","ES","H",32,94683.27,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\SEVILLA\","1","[1,2,3]"
"59","1050632.0","N","ES","H",23,289211.4,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"60","1050633.0","N","ES","V",23,34406.58,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"61","1050634.0","N","ES","H",55,101919.09,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"62","1050635.0","N","ES","V",23,77346.51,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"63","1050636.0","N","ES","H",23,136930.23,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CANTABRIA\","1","[1,2,3]"
"64","1050639.0","N","ES","V",23,148677.18,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"65","1050641.0","N","ES","V",42,45345.18,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\MADRID\","1","[1,2,3]"
"67","1050647.0","N","ES","H",38,28359.36,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KAT","N","\ALICANTE\","1","[1,2,3]"
"68","1050648.0","N","ES","V",50,137894.64,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KAT","N","\MADRID\","1","[1,2,3]"
"69","1050651.0","N","ES","H",30,139502.28,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\BALEARS"," ILLES\","1"
"71","1050652.0","N","ES","H",31,149099.88,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\VALLADOLID\","1","[1,2,3]"
"72","1050655.0","N","ES","H",45,95302.5,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\PONTEVEDRA\","1","[1,2,3]"
"73","1050658.0","N","ES","H",44,110245.53,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KAT","N","\MADRID\","0","[1,2,3]"
"76","1050661.0","N","ES","V",37,60072.81,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFC","N","\VALENCIA\","1","[1,2,3]"
"78","1050579.0","N","ES","H",27,34802.01,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHD","N","\TERUEL\","0","[1,2,3]"
"79","1050577.0","N","ES","H",23,79998.72,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\HUESCA\","1","[1,2,3]"
"80","1050507.0","N","ES","V",27,55331.31,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"81","1050508.0","N","ES","H",27,173223.78,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","S","KHE","N","\BARCELONA\","1","[1,2,3]"
"82","1050509.0","N","ES","H",23,47332.86,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"83","1050511.0","N","ES","H",23,111933,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","1"
"85","1050512.0","N","ES","H",31,107634.66,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"86","1050513.0","N","ES","V",23,55561.62,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"87","1050514.0","N","ES","H",28,215373.3,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","S","KHE","N","\BARCELONA\","0","[1,2,3]"
"88","1050515.0","N","ES","H",23,64258.14,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"90","1050517.0","N","ES","V",27,59930.22,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\HUESCA\","1","[1,2,3]"
"91","1050520.0","N","ES","V",23,162609.54,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"92","1050521.0","N","ES","H",23,74708.49,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\OURENSE\","1","[1,2,3]"
"93","1050522.0","N","ES","V",25,68155.5,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"94","1050523.0","N","ES","H",24,77383.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"95","1050524.0","N","ES","V",25,56347.68,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\LUGO\","0","[1,2,3]"
"96","1050505.0","N","ES","V",25,112330.35,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"97","1050525.0","N","ES","H",26,95392.71,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"98","1050504.0","N","ES","V",36,73020.18,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\JAEN\","0","[1,2,3]"
"100","1050487.0","N","ES","H",23,101293.11,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","0"
"102","1050488.0","N","ES","V",26,113580.78,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\HUESCA\","1","[1,2,3]"
"103","1050489.0","N","ES","H",23,158207.4,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"105","1050491.0","N","ES","V",23,60067.86,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"106","1050492.0","N","ES","V",25,77713.95,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"108","1050494.0","N","ES","V",38,42423.03,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"109","1050495.0","N","ES","H",23,154107.09,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\LUGO\","1","[1,2,3]"
"110","1050496.0","N","ES","V",28,93241.92,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"111","1050497.0","N","ES","H",23,46257.72,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","S","KHE","N","\TOLEDO\","0","[1,2,3]"
"113","1050499.0","N","ES","H",23,130311.75,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"114","1050500.0","N","ES","V",24,58682.34,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"115","1050501.0","N","ES","V",63,58682.34,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"117","1050578.0","N","ES","V",23,103775.1,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"118","1050526.0","N","ES","V",22,59551.65,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"119","1050529.0","N","ES","H",24,36372,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"122","1050556.0","N","ES","H",23,134770.2,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZAMORA\","1","[1,2,3]"
"123","1050557.0","N","ES","H",27,124518.48,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"124","1050560.0","N","ES","H",23,59537.49,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"125","1050561.0","N","ES","H",23,120146.49,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"126","1050562.0","N","ES","V",25,63342.36,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"127","1050565.0","N","ES","H",33,54141.03,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"128","1050567.0","N","ES","V",22,74689.35,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TERUEL\","0","[1,2,3]"
"129","1050568.0","N","ES","H",38,147215.97,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"130","1050569.0","N","ES","V",23,99272.52,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"131","1050570.0","N","ES","H",23,46145.94,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"133","1050573.0","N","ES","V",45,147215.97,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"134","1050574.0","N","ES","H",23,64347.36,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"135","1050575.0","N","ES","V",24,151852.47,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"136","1050552.0","N","ES","V",23,82756.11,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"137","1050527.0","N","ES","H",23,67018.92,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"138","1050551.0","N","ES","H",26,111926.91,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"139","1050549.0","N","ES","V",29,56603.76,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"140","1050530.0","N","ES","V",23,58801.02,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\GIRONA\","0","[1,2,3]"
"142","1050532.0","N","ES","V",22,134144.28,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"147","1050536.0","N","ES","V",23,37778.01,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"148","1050537.0","N","ES","H",23,214309.14,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"150","1050541.0","N","ES","V",23,112228.41,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\LUGO\","0","[1,2,3]"
"151","1050542.0","N","ES","V",23,66540.48,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\RIOJA"," LA\","1"
"153","1050543.0","N","ES","H",23,73414.65,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZAMORA\","0","[1,2,3]"
"155","1050547.0","N","ES","H",23,189110.64,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"156","1050548.0","N","ES","V",27,84365.58,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"157","1050550.0","N","ES","H",23,42247.26,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"158","1050713.0","N","ES","V",23,180338.19,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"159","1050715.0","N","ES","V",22,103915.47,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\ALBACETE\","1","[1,2,3]"
"160","1050717.0","N","ES","V",23,133865.43,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"162","1050874.0","N","ES","H",27,65012.64,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\AVILA\","1","[1,2,3]"
"164","1050878.0","N","ES","V",30,126039.36,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"165","1050879.0","N","ES","H",26,72203.85,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"166","1050884.0","N","ES","V",29,323722.5,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"169","1050888.0","N","ES","V",23,243690.57,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"170","1050890.0","N","ES","H",26,93297.81,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\AVILA\","0","[1,2,3]"
"172","1050893.0","N","ES","H",23,102242.25,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"173","1050894.0","N","ES","H",25,92941.65,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"174","1050896.0","N","ES","H",23,72729.48,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\HUESCA\","0","[1,2,3]"
"175","1050897.0","N","ES","V",22,112788.39,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ALICANTE\","1","[1,2,3]"
"176","1050872.0","N","ES","V",60,330939.12,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"177","1050898.0","N","ES","H",26,57358.02,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"178","1050871.0","N","ES","H",23,68472.63,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CANTABRIA\","1","[1,2,3]"
"179","1050867.0","N","ES","V",23,85170.99,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"180","1050841.0","N","ES","V",23,99813.3,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","1"
"182","1050844.0","N","ES","H",23,72727.77,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"183","1050846.0","N","ES","V",24,143977.8,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"185","1050848.0","N","ES","H",33,55686.72,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"186","1050851.0","N","ES","V",24,43845,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"187","1050852.0","N","ES","V",26,89386.86,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZAMORA\","0","[1,2,3]"
"188","1050854.0","N","ES","V",23,115583.91,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"189","1050855.0","N","ES","V",30,81308.46,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"190","1050857.0","N","ES","V",23,640168.26,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"191","1050859.0","N","ES","H",23,142219.8,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"193","1050862.0","N","ES","H",23,50577.66,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"194","1050864.0","N","ES","V",25,109071.12,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","0"
"196","1050865.0","N","ES","V",23,70577.61,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"197","1050869.0","N","ES","V",31,45758.82,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","S","KHE","N","\MADRID\","1","[1,2,3]"
"198","1050838.0","N","ES","H",23,90092.43,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CORUÑA"," A\","1"
"200","1050901.0","N","ES","H",31,84510.09,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"201","1050905.0","N","ES","V",57,57926.16,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"202","1050927.0","N","ES","H",32,195550.95,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"203","1050930.0","N","ES","H",36,88561.68,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"205","1050932.0","N","ES","V",26,44001.6,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"206","1050933.0","N","ES","H",23,49700.76,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
